Text;Sentimen
Organisasi Kesehatan Dunia WHO menetapkan Jawa Bali berada di level 2 transmisi komunitas COVID19 dan Sumatera level 2 Status PPKM bakal naik;netral
pake hitam putih dwang tp gk ngaps ngaps jd ppkm;netral
kalau melihat kelakuan seperti ini kadang berharap ada PPKM level 1 untuk penghuni istana;negatif
Mas kalo bapak mu ndelok iki bkln ppkm ndak mas;netral
Congrats Udah ga ppkm lagi;netral
alhamdulillah gak ppkm distatus htsnya itu;netral
berarti gue dulu ppkm keliatan dong ya;netral
Patroli Kota 9203 Polsek Bekasi Selatan Pimpinan IPDA Sugiman  Melaksanakan Patroli Mobile pada malam hingga menjelang pagi Antisipasi Guantibmas dan Ops PPKM di Wilayah Hukum Polsek Bekasi Selatan 29112022;netral
bukannya dia cuma nongkrong pas ppkm doang;netral
PPKM Level 1 dengan titik simpang tiga Tugu Pensil;netral
kok rp sepi ya apa lagi ppkm;netral
Anggota Polsek Glagah melakukan kegiatan Sinergitas dengan TNI Koramil Glagah pemantauan PPKM LEVEL 1 Wilayah Hukum Glagah;netral
penerapan PPKM kali ini harus dibutuhkan agar angka penurunan covid cepat;positif
ini ga ada mau di td kah si paling pintar pilih bias yang bener jangan yang suka keluaran nongki nongki pas ppkm meresahkan;netral
COPAS Kami menolak para Elit Mereka salah tentang PPKM mereka salah tentang model epidemiologi mereka salah tentang mas…;negatif
Wkkwwkk betul ppkm lvl 5;netral
Pada hari Selasa tgl 29 November 2022 Pkl 0830 WIB  sd selesai telah dilaksanakan Giat  Patroli Anggota koramil Gemolong dalam rangka  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan bertempat di wilayah Kec Gemolong;netral
ppkm liat reply mereka;netral
Dukung Penerapan PPKM;positif
Bukan ppkm lagi akibat zero covid policy bahkan ada kota kota yang masih complete lockdown dimana orang beneran gaboleh keluar rumah dan didatengin buat tes nucleatic acid atau apalah secara berkala;netral
pada hari  selasa tanggal 29 nopember 2022  Pkl 0800 WIB  sd selesai telah dilaksanakan Giat  patroli dalam rangka  Pelaksanaan PPKM LEVEL   I  dan monitoring SPBU di wil kecTanon;netral
Mu mulai lagi tapi bingung dh libur seminggu jdi ppkm;netral
HAHAHHAA RASANYA PPKM;netral
1 Awas ada varian baru;netral
2 Mari PPKM;positif
4 Wajib vaksin;positif
hari  Minggu  tgl  27 November   2022 Pkl 08 00 WIB  sd selesai telah dilaksanakan Giat  patroli dalam rangka  Pelaksanaan PPKM LEVEL  I   membatasi Mobilitas Perpindahan Masyarakat dan monitoring SPBU bertempat di wilayah kecamatan Tanon;netral
apakah betul jaklingko sdg menerapkan ppkm lagi Karena ada supir yg menolak menaikkan penumpang padahal blm penuh;netral
Pada Senin 28 November 2022 Pkl 2000 wib sd selesai telah dilaksanakan Giat  patroli gabungan dalam rangka  Pelaksanaan PPKM LEVEL 1 membatasi mobilitas perpindahan masyarakat dan pemantauan SPBU  di wilayah kecamatan Sumberlawang;netral
Dah kelar status mo ppkm;netral
Kasian nanti ppkm;negatif
maksudnya bebas keluar rumah pas ppkm walaupun ada himbauan tapi kan ga beneran dijagain;negatif
Patroli PPKM Level 1 dan bagi bagikan masker;netral
apakah jakarta akan ppkm lagi;netral
Remember when PPKM Level 4 menyerang;negatif
telah dilaksanakan Giat  patroli gabungan bersama Polsek Sumberlawang dalam rangka  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat dan bertempat di wilayah kecamatan Sumberlawang;netral
telah dilaksanakan Giat patroli  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat dan Monitoring SPBU bertempat di wilayah kecamatan Tanon Ki;netral
Giat  patroli gabungan bersama polsek sumberlawang dalam rangka  pelaksanaan PPKM Level 1 membatasi mobilitas perpindahan masyarakat Dan Monitoring antrian SPBU di wilayah kecamatan Sragen;netral
Pukul 0900 WIB sd selesai telah dilaksanakan Giat Patroli dalam rangka pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat di wilayah kecamatan Sumberlawang;netral
Ayo dong para owner swasta cerdas dikit napa jadi orangmasih aja nurutin kemauan opung tenggelam terusboster lahmasker lahWFH lahppkm lahsitu pada punya otak gak sih  Katanya pendidikan tinggi tapi di bohongin sales fucksin mau ajapenyembahnya opung sejati ya;negatif
Om gw tau ttg konser2 gt gw gatau si kerjanya apaan pokoknya dia ngsh tau mak gw krn skrg lg ppkm lvl 1 jd kmungkinan besar buat dikurangin kapasitas penontonnya jg gede;netral
ANJIR STRESS GUE STRESS PPKM GUE BELAJAR CODDING;negatif
telah dilaksanakan Giat Patroli dalam rangka pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat di wilayah kecamatan Sumberlawang;netral
telah dilaksanakan Giat  patroli gabungan dengan polsek sumberlawang dalam rangka  Pelaksanaan PPKM LEVEL 1 membatasi Mobilitas Perpindahan Masyarakat dan pemantauan SPBU di wilayah kecamatan Sumberlawang;netral
telah dilaksanakan Giat patroli  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat dan Monitoring SPBU bertempat di wilayah kecamatan Tanon;netral
seinget gw xi jinping nerapin zero covid policy makanya ppkm sama lockdown masih berlanjut terus d sana;netral
Pandemi dan PPKM membuatku mandiri Waxing Di rumah aja Creambath Di rumah aja Gunting rambut Udah lama banget ga ke salon;positif
Telah dilaksanakan giat operasi YustisiPenyekatan Pelaksanaan PPKM LEVEL 1 dalam membatasi mobilitasi perpindahan masyarakat dan monitor SPBU oleh Anggota Koramil 06Gondang bersama Polsek Gondang diwilayah Kecamatan Gondang sampai saat ini wilayah kecamatan Gondang;netral
Emang pandemi belom berakhir tapi sudah tidak ppkm mayoritas juga udah vaksin jadi boleh berpergian keluar termasuk nonton film di bioskop;netral
Cairr kan  pokok e rakyat PPKM pelan pelan kalian M;negatif
Mbaku jg dl pas nikah gini cowonya sanggup maharin 10jt resepsi 10jtpas ppkm Ortuku nanya mba kamu cinta…;positif
Iya karakter baru aku milih ga kenalan dulu alias ppkm aja modal nontonnya nti;netral
pada hari Jumat 25 November 2022  Pkl 0830 WIB  sd selesai telah dilaksanakan Giat patroli  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat dan Monitoring SPBU bertempat di wilayah kecamatan Tanon;netral
alamat PPKM lagi nih;negatif
Penerintah sdh perintahkan lockdown tp org2 yg sepaham dg anda tdk setuju alasanya ekonomi  seandainya tdk ada lockdown  ppkm trus byk yg mati ntar yg di salahin pemerintah  Yg penting skrg indonesia selamat dr kepunahan manusia;positif
Udah selesai seharian ppkm ak;netral
PPKM untuk keselamatan kita semua dalam melawan covid19;positif
Makasii mam biar ga ppkm di wed km mam;netral
Semoga Menko dpt segera merevisi PPKM utk PJawaBali menjadi Level2;netral
